date_combined,co2_flux(µmol/s/m^2),qc_co2_flux,Rg(W/m^2),Tair(degC),Rg
37622.0,N/A,N/A,0.0,5.2,
37622.020833333336,N/A,N/A,0.0,6.0,
37622.041666666664,N/A,N/A,0.0,6.4,
37622.0625,N/A,N/A,0.0,6.9,
37622.083333333336,N/A,N/A,0.0,6.9,
37622.104166666664,N/A,N/A,0.0,6.7,
37622.125,N/A,N/A,0.0,6.8,
37622.145833333336,N/A,N/A,0.0,7.1,
37622.166666666664,N/A,N/A,0.0,7.4,
37622.1875,N/A,N/A,0.0,7.8,
37622.208333333336,N/A,N/A,0.0,8.3,
37622.229166666664,N/A,N/A,0.0,8.8,
37622.25,N/A,N/A,0.0,9.2,
37622.270833333336,N/A,N/A,0.0,9.5,
37622.291666666664,N/A,N/A,0.0,10.1,
37622.3125,N/A,N/A,0.0,10.2,
37622.333333333336,N/A,N/A,0.0,11.3,
37622.354166666664,N/A,N/A,0.0,11.4,
37622.375,N/A,N/A,5.0,12.0,
37622.395833333336,N/A,N/A,9.0,11.9,
37622.416666666664,N/A,N/A,16.0,12.0,
37622.4375,N/A,N/A,41.0,12.2,
37622.458333333336,N/A,N/A,21.0,12.0,
37622.479166666664,N/A,N/A,6.0,12.0,
37622.5,N/A,N/A,51.0,12.2,
37622.520833333336,N/A,N/A,42.0,12.0,
37622.541666666664,N/A,N/A,58.0,12.3,
37622.5625,N/A,N/A,43.0,12.3,
37622.583333333336,N/A,N/A,57.0,12.6,
37622.604166666664,N/A,N/A,69.0,12.3,
37622.625,N/A,N/A,25.0,12.3,
37622.645833333336,N/A,N/A,20.0,11.7,
37622.666666666664,N/A,N/A,10.0,11.4,
37622.6875,N/A,N/A,0.0,11.2,
37622.708333333336,N/A,N/A,0.0,11.1,
37622.729166666664,N/A,N/A,0.0,11.2,
37622.75,N/A,N/A,0.0,11.2,
37622.770833333336,N/A,N/A,0.0,11.0,
37622.791666666664,N/A,N/A,0.0,10.7,
37622.8125,N/A,N/A,0.0,10.7,
37622.833333333336,N/A,N/A,0.0,10.6,
37622.854166666664,N/A,N/A,0.0,10.3,
37622.875,N/A,N/A,0.0,10.2,
37622.895833333336,N/A,N/A,0.0,10.2,
37622.916666666664,N/A,N/A,0.0,10.4,
37622.9375,N/A,N/A,0.0,10.6,
37622.958333333336,N/A,N/A,0.0,10.7,
37622.979166666664,N/A,N/A,0.0,10.5,
37623.0,N/A,N/A,0.0,10.4,
37623.020833333336,N/A,N/A,0.0,10.1,
37623.041666666664,N/A,N/A,0.0,9.9,
37623.0625,N/A,N/A,0.0,9.6,
37623.083333333336,N/A,N/A,0.0,9.2,
37623.104166666664,N/A,N/A,0.0,9.0,
37623.125,N/A,N/A,0.0,8.9,
37623.145833333336,N/A,N/A,0.0,9.0,
37623.166666666664,N/A,N/A,0.0,9.1,
37623.1875,N/A,N/A,0.0,8.9,
37623.208333333336,N/A,N/A,0.0,9.1,
37623.229166666664,N/A,N/A,0.0,9.2,
37623.25,N/A,N/A,0.0,9.3,
37623.270833333336,N/A,N/A,0.0,9.5,
37623.291666666664,N/A,N/A,0.0,10.1,
37623.3125,N/A,N/A,0.0,11.0,
37623.333333333336,N/A,N/A,0.0,11.1,
37623.354166666664,N/A,N/A,0.0,10.5,
37623.375,N/A,N/A,0.0,9.2,
37623.395833333336,N/A,N/A,17.0,9.4,
37623.416666666664,N/A,N/A,46.0,9.4,
37623.4375,N/A,N/A,77.0,9.8,
37623.458333333336,N/A,N/A,40.0,10.2,
37623.479166666664,N/A,N/A,62.0,10.6,
37623.5,N/A,N/A,58.0,10.7,
37623.520833333336,N/A,N/A,45.0,10.9,
37623.541666666664,N/A,N/A,59.0,9.0,
37623.5625,N/A,N/A,81.0,7.3,
37623.583333333336,N/A,N/A,126.0,7.2,
37623.604166666664,N/A,N/A,90.0,7.7,
37623.625,N/A,N/A,35.0,7.8,
37623.645833333336,N/A,N/A,23.0,7.7,
37623.666666666664,N/A,N/A,6.0,7.7,
37623.6875,N/A,N/A,0.0,7.8,
37623.708333333336,N/A,N/A,0.0,8.0,
37623.729166666664,N/A,N/A,0.0,7.9,
37623.75,N/A,N/A,0.0,7.9,
37623.770833333336,N/A,N/A,0.0,7.7,
37623.791666666664,N/A,N/A,0.0,7.6,
37623.8125,N/A,N/A,0.0,7.5,
37623.833333333336,N/A,N/A,0.0,8.0,
37623.854166666664,N/A,N/A,0.0,8.4,
37623.875,N/A,N/A,0.0,8.0,
37623.895833333336,N/A,N/A,0.0,8.1,
37623.916666666664,N/A,N/A,0.0,8.2,
37623.9375,N/A,N/A,0.0,7.9,
37623.958333333336,N/A,N/A,0.0,8.2,
37623.979166666664,N/A,N/A,0.0,8.4,
37624.0,N/A,N/A,0.0,8.0,
37624.020833333336,N/A,N/A,0.0,8.0,
37624.041666666664,N/A,N/A,0.0,8.2,
37624.0625,N/A,N/A,0.0,7.9,
37624.083333333336,N/A,N/A,0.0,8.1,
37624.104166666664,N/A,N/A,0.0,8.3,
37624.125,N/A,N/A,0.0,8.3,
37624.145833333336,N/A,N/A,0.0,7.9,
37624.166666666664,N/A,N/A,0.0,8.0,
37624.1875,N/A,N/A,0.0,8.3,
37624.208333333336,N/A,N/A,0.0,8.1,
37624.229166666664,N/A,N/A,0.0,7.4,
37624.25,N/A,N/A,0.0,7.7,
37624.270833333336,N/A,N/A,0.0,7.8,
37624.291666666664,N/A,N/A,0.0,7.7,
37624.3125,N/A,N/A,0.0,7.0,
37624.333333333336,N/A,N/A,0.0,6.3,
37624.354166666664,N/A,N/A,0.0,5.7,
37624.375,N/A,N/A,20.0,5.5,
37624.395833333336,N/A,N/A,40.0,5.8,
37624.416666666664,N/A,N/A,116.0,6.2,
37624.4375,N/A,N/A,141.0,7.1,
37624.458333333336,N/A,N/A,207.0,7.1,
37624.479166666664,N/A,N/A,226.0,7.6,
37624.5,N/A,N/A,239.0,7.5,
37624.520833333336,0.537449920806739,0.0,193.0,8.1,
37624.541666666664,-0.369691653058091,2.0,88.0,6.9,
37624.5625,-5.14237307552594,1.0,97.0,6.4,
37624.583333333336,-0.641522984676916,1.0,78.0,5.8,
37624.604166666664,2.52468875012308,1.0,67.0,5.2,
37624.625,3.2997489988329,1.0,36.0,4.8,
37624.645833333336,3.20342932517702,0.0,21.0,4.3,
37624.666666666664,4.64541972657488,0.0,9.0,3.8,
37624.6875,3.27778251244799,0.0,0.0,3.7,
37624.708333333336,5.16482712433945,0.0,0.0,3.2,
37624.729166666664,4.67411051760157,1.0,0.0,3.2,
37624.75,2.62742098910683,0.0,0.0,2.7,
37624.770833333336,2.41104837465258,1.0,0.0,2.6,
37624.791666666664,0.480872082759966,1.0,0.0,2.6,
37624.8125,1.98214552920889,0.0,0.0,2.7,
37624.833333333336,1.52681907373691,1.0,0.0,2.9,
37624.854166666664,2.40960202124205,0.0,0.0,3.0,
37624.875,-1.92817940047978,1.0,0.0,2.9,
37624.895833333336,1.46946829240882,1.0,0.0,2.8,
37624.916666666664,3.14353868552238,0.0,0.0,2.6,
37624.9375,1.92282277970617,0.0,0.0,2.2,
37624.958333333336,2.39786770378,0.0,0.0,1.5,
37624.979166666664,1.83449758377637,0.0,0.0,0.8,
37625.0,3.77755229573583,0.0,0.0,0.6,
37625.020833333336,2.36268823964978,0.0,0.0,0.4,
37625.041666666664,3.58147584276888,0.0,0.0,0.4,
37625.0625,-2.62185169922981,2.0,0.0,0.5,
37625.083333333336,2.55693734609416,0.0,0.0,0.5,
37625.104166666664,1.38063576520759,1.0,0.0,0.2,
37625.125,1.93765854228247,0.0,0.0,0.0,
37625.145833333336,4.10851515806209,0.0,0.0,0.2,
37625.166666666664,-1.82873303378552,2.0,0.0,0.1,
37625.1875,3.52075352754402,0.0,0.0,0.2,
37625.208333333336,3.90073324542556,0.0,0.0,0.1,
37625.229166666664,5.06493632341586,1.0,0.0,0.2,
37625.25,6.43851912745307,0.0,0.0,0.4,
37625.270833333336,2.47037937492211,0.0,0.0,0.3,
37625.291666666664,2.00396917117402,0.0,0.0,0.3,
37625.3125,0.914480957287828,1.0,0.0,0.3,
37625.333333333336,2.1355478082793,0.0,0.0,0.3,
37625.354166666664,1.23637572348775,0.0,0.0,0.3,
37625.375,1.39701954090778,0.0,9.0,0.4,
37625.395833333336,1.34572942223001,1.0,29.0,0.7,
37625.416666666664,1.54423828099227,0.0,87.0,1.4,
37625.4375,1.11429365892803,0.0,164.0,1.9,
37625.458333333336,1.38280680847162,0.0,200.0,2.6,
37625.479166666664,3.91461960267166,1.0,224.0,3.2,
37625.5,2.40238676415808,1.0,247.0,3.5,
37625.520833333336,-1.83170449171208,1.0,252.0,3.5,
37625.541666666664,1.80852644937352,0.0,245.0,3.2,
37625.5625,1.55350384349756,0.0,149.0,3.2,
37625.583333333336,1.25986419969585,1.0,153.0,3.1,
37625.604166666664,2.23056256079928,1.0,143.0,3.2,
37625.625,1.46228041098171,0.0,99.0,3.1,
37625.645833333336,1.5527612184063,0.0,50.0,2.6,
37625.666666666664,1.513916359706,0.0,14.0,1.8,
37625.6875,-0.28752740883301,1.0,0.0,1.5,
37625.708333333336,0.980053244436502,1.0,0.0,0.9,
37625.729166666664,1.49932846819217,1.0,0.0,0.8,
37625.75,3.87762760015851,0.0,0.0,0.8,
37625.770833333336,-5.4645488212735,1.0,0.0,1.2,
37625.791666666664,2.89850126357342,0.0,0.0,1.1,
37625.8125,3.35832495951346,1.0,0.0,1.2,
37625.833333333336,1.88959829860965,0.0,0.0,1.5,
37625.854166666664,1.99338968964966,0.0,0.0,1.0,
37625.875,1.61360073408522,0.0,0.0,0.7,
37625.895833333336,1.60373755322038,0.0,0.0,0.3,
37625.916666666664,2.44285430529205,1.0,0.0,0.0,
37625.9375,2.34127041309223,0.0,0.0,-0.3,
