,date_combined,co2_flux(µmol/s/m^2),qc_co2_flux,Rg(W/m^2),Tair(degC)
,41275.0,1.923548499,2.0,-2.71,8.4
,41275.020833333336,2.194981898,0.0,-1.86,8.19
,41275.041666666664,1.923548499,0.0,-1.86,8.24
,41275.0625,3.660441307,0.0,-2.14,8.24
,41275.083333333336,2.208149088,0.0,-2.71,7.73
,41275.104166666664,0.610197386,1.0,-4.14,7.58
,41275.125,1.752190943,0.0,-3.0,7.42
,41275.145833333336,1.650954281,0.0,-3.86,7.17
,41275.166666666664,2.10865305,1.0,-3.57,6.76
,41275.1875,2.429286606,0.0,-5.57,5.99
,41275.208333333336,1.289098385,0.0,-5.86,5.32
,41275.229166666664,0.695422221,0.0,-5.57,4.81
,41275.25,1.617906622,0.0,-5.0,4.45
,41275.270833333336,1.685188171,0.0,-5.29,4.25
,41275.291666666664,1.237899499,0.0,-5.57,3.94
,41275.3125,2.057053582,0.0,-5.29,3.84
,41275.333333333336,1.130817629,0.0,-5.0,3.69
,41275.354166666664,0.756092279,0.0,3.29,3.69
,41275.375,0.335295923,1.0,37.93,3.79
,41275.395833333336,-0.063,2.0,88.0,3.99
,41275.416666666664,0.418423486,0.0,143.29,4.51
,41275.4375,-1.044950327,1.0,192.29,5.27
,41275.458333333336,0.791908358,0.0,232.43,5.58
,41275.479166666664,0.973566747,0.0,250.57,5.73
,41275.5,-0.665753593,1.0,276.86,6.04
,41275.520833333336,1.439896472,0.0,278.79,6.35
,41275.541666666664,0.806189669,0.0,268.43,6.66
,41275.5625,1.908095185,0.0,248.29,6.96
,41275.583333333336,1.454014227,0.0,225.71,7.07
,41275.604166666664,0.824107026,0.0,184.36,7.07
,41275.625,0.499317956,1.0,103.93,6.86
,41275.645833333336,1.020338585,1.0,69.36,6.76
,41275.666666666664,0.491622488,1.0,19.14,6.25
,41275.6875,0.988594886,1.0,-2.43,5.68
,41275.708333333336,1.149071475,0.0,-5.29,5.38
,41275.729166666664,-0.368553653,2.0,-5.57,4.97
,41275.75,1.082157001,0.0,-5.29,4.92
,41275.770833333336,0.242409216,1.0,-5.57,4.66
,41275.791666666664,1.811365979,0.0,-5.0,4.61
,41275.8125,0.680809344,0.0,-5.29,4.66
,41275.833333333336,1.339528254,0.0,-5.0,4.45
,41275.854166666664,1.191372786,0.0,-5.0,4.4
,41275.875,1.459715835,1.0,-5.0,4.45
,41275.895833333336,1.511060842,0.0,-5.0,4.04
,41275.916666666664,1.301703872,0.0,-5.0,3.79
,41275.9375,1.865770688,0.0,-4.71,3.79
,41275.958333333336,1.412885504,0.0,-4.71,3.89
,41275.979166666664,0.648331408,1.0,-5.0,3.79
,41276.0,1.423369506,0.0,-5.0,3.58
,41276.020833333336,2.478680446,0.0,-3.86,3.53
,41276.041666666664,1.479325996,0.0,-3.57,3.58
