year, month, date,day, t_mean, t_max, t_min, I, nee
1.999000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.433333333333331794e+00,9.599999999999999645e+00,7.700000000000000178e+00,2.885399999999999743e+00,2.866951615776311968e+00
1.999000000000000000e+03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,6.995833333333333570e+00,8.900000000000000355e+00,3.700000000000000178e+00,4.067999999999999616e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,7.058333333333333570e+00,1.000000000000000000e+01,4.000000000000000000e+00,3.045599999999999863e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.156666666666666821e+01,1.319999999999999929e+01,8.300000000000000711e+00,2.851199999999999957e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.150833333333333286e+01,1.330000000000000071e+01,9.599999999999999645e+00,3.272399999999999753e+00,3.302199813755196001e+00
1.999000000000000000e+03,1.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.146041666666666714e+01,1.390000000000000036e+01,5.700000000000000178e+00,4.420799999999999841e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,6.131249999999998757e+00,8.599999999999999645e+00,3.700000000000000178e+00,2.924999999999999822e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,4.549999999999999822e+00,7.700000000000000178e+00,2.700000000000000178e+00,3.213000000000000078e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00,2.454166666666667496e+00,3.799999999999999822e+00,9.000000000000000222e-01,2.624400000000000066e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.045833333333333393e+00,2.899999999999999911e+00,-8.000000000000000444e-01,2.831399999999999917e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,2.249999999999997835e-01,1.899999999999999911e+00,-3.200000000000000178e+00,3.382200000000000095e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,2.287500000000000089e+00,6.799999999999999822e+00,-3.399999999999999911e+00,1.033199999999999896e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,5.129166666666667318e+00,8.599999999999999645e+00,1.899999999999999911e+00,1.751399999999999846e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000000e+01,6.256250000000001421e+00,8.199999999999999289e+00,3.700000000000000178e+00,4.681799999999999962e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.500000000000000000e+01,1.500000000000000000e+01,8.949999999999999289e+00,1.019999999999999929e+01,7.400000000000000355e+00,1.495800000000000018e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.600000000000000000e+01,1.600000000000000000e+01,6.918750000000002842e+00,1.100000000000000000e+01,4.299999999999999822e+00,2.852999999999999758e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.700000000000000000e+01,1.700000000000000000e+01,4.489583333333333037e+00,7.799999999999999822e+00,2.299999999999999822e+00,3.700800000000000090e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.800000000000000000e+01,1.800000000000000000e+01,6.306249999999999467e+00,9.300000000000000711e+00,2.799999999999999822e+00,2.768399999999999750e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000000e+01,1.089583333333333037e+01,1.200000000000000000e+01,9.099999999999999645e+00,1.151999999999999913e+00,2.764594639887747007e+00
1.999000000000000000e+03,1.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,1.010000000000000142e+01,1.209999999999999964e+01,8.400000000000000355e+00,1.981800000000000006e+00,3.008435037309583393e+00
1.999000000000000000e+03,1.000000000000000000e+00,2.100000000000000000e+01,2.100000000000000000e+01,4.808333333333331794e+00,8.400000000000000355e+00,1.000000000000000000e+00,4.323599999999999888e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.200000000000000000e+01,2.200000000000000000e+01,-6.739583333333333259e-01,1.899999999999999911e+00,-3.000000000000000000e+00,2.980799999999999894e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.300000000000000000e+01,2.300000000000000000e+01,4.662500000000000533e+00,8.800000000000000711e+00,-1.800000000000000044e+00,2.570399999999999796e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.400000000000000000e+01,2.400000000000000000e+01,7.964583333333332682e+00,1.119999999999999929e+01,4.099999999999999645e+00,4.125599999999999490e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01,9.741666666666665364e+00,1.250000000000000000e+01,3.700000000000000178e+00,3.682799999999999851e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.600000000000000000e+01,2.600000000000000000e+01,5.625000000000000000e+00,8.800000000000000711e+00,3.600000000000000089e+00,3.774599999999999955e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01,5.343750000000000000e+00,9.000000000000000000e+00,1.899999999999999911e+00,6.120000000000000107e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.066666666666668206e+00,1.209999999999999964e+01,4.299999999999999822e+00,4.190399999999999459e+00,1.459132505215319231e+00
1.999000000000000000e+03,1.000000000000000000e+00,2.900000000000000000e+01,2.900000000000000000e+01,4.586458333333333748e+00,6.900000000000000355e+00,1.699999999999999956e+00,3.151799999999999713e+00,nan
1.999000000000000000e+03,1.000000000000000000e+00,3.000000000000000000e+01,3.000000000000000000e+01,4.015624999999997335e+00,4.799999999999999822e+00,3.100000000000000089e+00,9.143999999999999906e-01,nan
1.999000000000000000e+03,1.000000000000000000e+00,3.100000000000000000e+01,3.100000000000000000e+01,4.215624999999999289e+00,5.700000000000000178e+00,2.899999999999999911e+00,1.958399999999999919e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,6.937499999999999112e+00,8.599999999999999645e+00,5.400000000000000355e+00,1.683899999999999952e+00,nan
1.999000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+00,3.300000000000000000e+01,6.635416666666666963e+00,9.400000000000000355e+00,4.299999999999999822e+00,6.008399999999999963e+00,nan
