Hourly Year,Year,Month,Day,Day,Houre,Day,Rtot
29-Mar-07,2007,3,29,88,24,88,1.4
29-Mar-07,2007,3,29,88,1,88,1.41
29-Mar-07,2007,3,29,88,2,88,1.63
29-Mar-07,2007,3,29,88,3,88.1,9999
29-Mar-07,2007,3,29,88,4,88.1,1.47
29-Mar-07,2007,3,29,88,5,88.2,1.5
29-Mar-07,2007,3,29,88,6,88.2,1.41
29-Mar-07,2007,3,29,88,7,88.3,1.27
29-Mar-07,2007,3,29,88,8,88.3,1.21
29-Mar-07,2007,3,29,88,9,88.3,9999
29-Mar-07,2007,3,29,88,10,88.4,1.22
29-Mar-07,2007,3,29,88,11,88.4,1.2
29-Mar-07,2007,3,29,88,12,88.5,1.27
29-Mar-07,2007,3,29,88,13,88.5,1.3
29-Mar-07,2007,3,29,88,14,88.5,1.18
29-Mar-07,2007,3,29,88,15,88.6,1.33
29-Mar-07,2007,3,29,88,16,88.6,9999
29-Mar-07,2007,3,29,88,17,88.7,1.41
29-Mar-07,2007,3,29,88,18,88.7,1.43
29-Mar-07,2007,3,29,88,19,88.8,1.24
29-Mar-07,2007,3,29,88,20,88.8,1.25
29-Mar-07,2007,3,29,88,21,88.8,1.16
29-Mar-07,2007,3,29,88,22,88.9,1.14
29-Mar-07,2007,3,29,88,23,88.9,1.09
30-Mar-07,2007,3,30,89,24,89,1.07
30-Mar-07,2007,3,30,89,1,89,1.16
30-Mar-07,2007,3,30,89,2,89,9999
30-Mar-07,2007,3,30,89,3,89.1,1.23
30-Mar-07,2007,3,30,89,4,89.1,1.17
30-Mar-07,2007,3,30,89,5,89.2,1.1
30-Mar-07,2007,3,30,89,6,89.2,1.07
30-Mar-07,2007,3,30,89,7,89.3,1.13
30-Mar-07,2007,3,30,89,8,89.3,1.11
30-Mar-07,2007,3,30,89,9,89.3,1.08
30-Mar-07,2007,3,30,89,10,89.4,1.09
30-Mar-07,2007,3,30,89,11,89.4,9999
30-Mar-07,2007,3,30,89,12,89.5,1.01
30-Mar-07,2007,3,30,89,13,89.5,0.98
30-Mar-07,2007,3,30,89,14,89.5,0.93
30-Mar-07,2007,3,30,89,15,89.6,0.98
30-Mar-07,2007,3,30,89,16,89.6,1.01
30-Mar-07,2007,3,30,89,17,89.7,1.06
30-Mar-07,2007,3,30,89,18,89.7,1.05
30-Mar-07,2007,3,30,89,19,89.8,0.99
30-Mar-07,2007,3,30,89,20,89.8,9999
30-Mar-07,2007,3,30,89,21,89.8,0.96
30-Mar-07,2007,3,30,89,22,89.9,0.98
30-Mar-07,2007,3,30,89,23,89.9,0.92
31-Mar-07,2007,3,31,89,24,90,0.93
31-Mar-07,2007,3,31,90,1,90,0.93
31-Mar-07,2007,3,31,90,2,90,0.97
31-Mar-07,2007,3,31,90,3,90.1,1.02
31-Mar-07,2007,3,31,90,4,90.1,0.97
31-Mar-07,2007,3,31,90,5,90.2,0.92
31-Mar-07,2007,3,31,90,6,90.2,9999
31-Mar-07,2007,3,31,90,7,90.3,0.87
31-Mar-07,2007,3,31,90,8,90.3,0.95
31-Mar-07,2007,3,31,90,9,90.3,1.02
31-Mar-07,2007,3,31,90,10,90.4,1.05
31-Mar-07,2007,3,31,90,11,90.4,1.01
31-Mar-07,2007,3,31,90,12,90.5,9999
31-Mar-07,2007,3,31,90,13,90.5,9999
31-Mar-07,2007,3,31,90,14,90.5,9999
31-Mar-07,2007,3,31,90,15,90.6,9999
31-Mar-07,2007,3,31,90,16,90.6,9999
